model_id,prompt_id,subtype_id,FR_control,FR_trigger,delta_pp,A_flag,B_flag,p_value,pair_count,n01,n10
Qwen3-235B-A22B-Instruct-2507,P4,simp_trad,10.4167,68.7500,58.3333,1,1,0.000000,48,28,0
gemini-3-flash,P1,full_half_width,12.5000,12.5000,0.0000,0,0,1.000000,16,0,0
gemini-3-flash,P1,ocr_confusable,5.2632,78.9474,73.6842,1,1,0.000122,19,14,0
gemini-3-flash,P1,simp_trad,13.0435,71.7391,58.6957,1,1,0.000000,46,27,0
gemini-3-flash,P2,full_half_width,4.3478,4.3478,0.0000,0,0,1.000000,23,0,0
gemini-3-flash,P2,ocr_confusable,13.0435,69.5652,56.5217,1,1,0.000244,23,13,0
gemini-3-flash,P2,simp_trad,12.5000,68.7500,56.2500,1,1,0.000000,48,27,0
gemini-3-flash,P3,full_half_width,8.3333,8.3333,0.0000,0,0,1.000000,24,0,0
gemini-3-flash,P3,ocr_confusable,8.3333,70.8333,62.5000,1,1,0.000061,24,15,0
gemini-3-flash,P3,simp_trad,12.5000,68.7500,56.2500,1,1,0.000000,48,27,0
gemini-3-flash,P4,full_half_width,8.6957,8.6957,0.0000,0,0,1.000000,23,0,0
gemini-3-flash,P4,ocr_confusable,12.5000,70.8333,58.3333,1,1,0.000519,24,15,1
gemini-3-flash,P4,simp_trad,14.5833,70.8333,56.2500,1,1,0.000000,48,28,1
gpt-5.2,P1,full_half_width,8.3333,8.3333,0.0000,0,0,1.000000,24,0,0
gpt-5.2,P1,ocr_confusable,12.5000,83.3333,70.8333,1,1,0.000015,24,17,0
gpt-5.2,P1,simp_trad,16.6667,72.9167,56.2500,1,1,0.000000,48,28,1
gpt-5.2,P2,full_half_width,12.5000,8.3333,-4.1667,0,0,1.000000,24,0,1
gpt-5.2,P2,ocr_confusable,8.3333,87.5000,79.1667,1,1,0.000004,24,19,0
gpt-5.2,P2,simp_trad,16.6667,70.8333,54.1667,1,1,0.000000,48,26,0
gpt-5.2,P3,full_half_width,4.1667,4.1667,0.0000,0,0,1.000000,24,0,0
gpt-5.2,P3,ocr_confusable,8.3333,70.8333,62.5000,1,1,0.000061,24,15,0
gpt-5.2,P3,simp_trad,12.5000,64.5833,52.0833,1,1,0.000000,48,26,1
gpt-5.2,P4,full_half_width,16.6667,8.3333,-8.3333,0,0,0.500000,24,0,2
gpt-5.2,P4,ocr_confusable,16.6667,75.0000,58.3333,1,1,0.000519,24,15,1
gpt-5.2,P4,simp_trad,18.7500,70.8333,52.0833,1,1,0.000000,48,25,0
