repair_mode,model_id,prompt_id,subtype_id,FR_control,FR_trigger,delta_pp,A_flag,B_flag,p_value,pair_count,n01,n10
script_numeric,Qwen3-235B-A22B-Instruct-2507,P2,ocr_confusable,0.0000,50.0000,50.0000,1,1,0.000488,24,12,0
script_numeric,Qwen3-235B-A22B-Instruct-2507,P2,simp_trad,10.4167,14.5833,4.1667,0,0,0.500000,48,2,0
script_numeric,Qwen3-235B-A22B-Instruct-2507,P3,full_half_width,12.5000,12.5000,0.0000,0,0,1.000000,24,1,1
script_numeric,Qwen3-235B-A22B-Instruct-2507,P3,ocr_confusable,12.5000,58.3333,45.8333,1,1,0.000977,24,11,0
script_numeric,Qwen3-235B-A22B-Instruct-2507,P3,simp_trad,12.5000,12.5000,0.0000,0,0,1.000000,48,0,0
script_numeric,Qwen3-235B-A22B-Instruct-2507,P4,full_half_width,12.5000,12.5000,0.0000,0,0,1.000000,24,0,0
script_numeric,Qwen3-235B-A22B-Instruct-2507,P4,ocr_confusable,4.1667,54.1667,50.0000,1,1,0.000488,24,12,0
script_numeric,Qwen3-235B-A22B-Instruct-2507,P4,simp_trad,10.4167,12.5000,2.0833,0,0,1.000000,48,2,1
script_numeric,gemini-3-flash,P1,full_half_width,12.5000,12.5000,0.0000,0,0,1.000000,16,0,0
script_numeric,gemini-3-flash,P1,ocr_confusable,5.2632,57.8947,52.6316,1,1,0.001953,19,10,0
script_numeric,gemini-3-flash,P1,simp_trad,13.0435,10.8696,-2.1739,0,0,1.000000,46,0,1
script_numeric,gemini-3-flash,P2,full_half_width,4.3478,4.3478,0.0000,0,0,1.000000,23,0,0
script_numeric,gemini-3-flash,P2,ocr_confusable,13.0435,56.5217,43.4783,1,1,0.001953,23,10,0
script_numeric,gemini-3-flash,P2,simp_trad,12.5000,12.5000,0.0000,0,0,1.000000,48,0,0
script_numeric,gemini-3-flash,P3,full_half_width,8.3333,8.3333,0.0000,0,0,1.000000,24,0,0
script_numeric,gemini-3-flash,P3,ocr_confusable,8.3333,54.1667,45.8333,1,1,0.000977,24,11,0
script_numeric,gemini-3-flash,P3,simp_trad,12.5000,10.4167,-2.0833,0,0,1.000000,48,0,1
script_numeric,gemini-3-flash,P4,full_half_width,8.6957,8.6957,0.0000,0,0,1.000000,23,0,0
script_numeric,gemini-3-flash,P4,ocr_confusable,12.5000,54.1667,41.6667,1,1,0.006348,24,11,1
script_numeric,gemini-3-flash,P4,simp_trad,14.5833,14.5833,0.0000,0,0,1.000000,48,1,1
script_numeric,gpt-5.2,P1,full_half_width,8.3333,8.3333,0.0000,0,0,1.000000,24,0,0
script_numeric,gpt-5.2,P1,ocr_confusable,12.5000,62.5000,50.0000,1,1,0.000488,24,12,0
script_numeric,gpt-5.2,P1,simp_trad,16.6667,20.8333,4.1667,0,0,0.625000,48,3,1
script_numeric,gpt-5.2,P2,full_half_width,12.5000,8.3333,-4.1667,0,0,1.000000,24,0,1
script_numeric,gpt-5.2,P2,ocr_confusable,8.3333,66.6667,58.3333,1,1,0.000122,24,14,0
script_numeric,gpt-5.2,P2,simp_trad,16.6667,16.6667,0.0000,0,0,1.000000,48,2,2
script_numeric,gpt-5.2,P3,full_half_width,4.1667,4.1667,0.0000,0,0,1.000000,24,0,0
script_numeric,gpt-5.2,P3,ocr_confusable,8.3333,54.1667,45.8333,1,1,0.000977,24,11,0
script_numeric,gpt-5.2,P3,simp_trad,12.5000,10.4167,-2.0833,0,0,1.000000,48,1,2
script_numeric,gpt-5.2,P4,full_half_width,16.6667,8.3333,-8.3333,0,0,0.500000,24,0,2
script_numeric,gpt-5.2,P4,ocr_confusable,16.6667,58.3333,41.6667,1,1,0.006348,24,11,1
script_numeric,gpt-5.2,P4,simp_trad,18.7500,16.6667,-2.0833,0,0,1.000000,48,1,2
sccp_strict,DeepSeek-V3.2,P1,full_half_width,16.6667,20.8333,4.1667,0,0,1.000000,24,1,0
sccp_strict,DeepSeek-V3.2,P1,ocr_confusable,8.3333,16.6667,8.3333,0,0,0.500000,24,2,0
sccp_strict,DeepSeek-V3.2,P1,simp_trad,16.6667,14.5833,-2.0833,0,0,1.000000,48,0,1
sccp_strict,DeepSeek-V3.2,P2,full_half_width,12.5000,16.6667,4.1667,0,0,1.000000,24,1,0
sccp_strict,DeepSeek-V3.2,P2,ocr_confusable,8.3333,29.1667,20.8333,0,0,0.062500,24,5,0
sccp_strict,DeepSeek-V3.2,P2,simp_trad,12.5000,16.6667,4.1667,0,0,0.500000,48,2,0
sccp_strict,DeepSeek-V3.2,P3,full_half_width,8.3333,12.5000,4.1667,0,0,1.000000,24,1,0
sccp_strict,DeepSeek-V3.2,P3,ocr_confusable,16.6667,29.1667,12.5000,0,0,0.250000,24,3,0
sccp_strict,DeepSeek-V3.2,P3,simp_trad,16.6667,18.7500,2.0833,0,0,1.000000,48,3,2
sccp_strict,DeepSeek-V3.2,P4,full_half_width,16.6667,16.6667,0.0000,0,0,1.000000,24,2,2
sccp_strict,DeepSeek-V3.2,P4,ocr_confusable,8.3333,25.0000,16.6667,0,0,0.125000,24,4,0
sccp_strict,DeepSeek-V3.2,P4,simp_trad,14.5833,16.6667,2.0833,0,0,1.000000,48,1,0
sccp_strict,GLM-4.6,P1,full_half_width,8.3333,8.3333,0.0000,0,0,1.000000,24,0,0
sccp_strict,GLM-4.6,P1,ocr_confusable,0.0000,16.6667,16.6667,0,0,0.125000,24,4,0
sccp_strict,GLM-4.6,P1,simp_trad,8.3333,8.3333,0.0000,0,0,1.000000,48,2,2
sccp_strict,GLM-4.6,P2,full_half_width,4.1667,4.1667,0.0000,0,0,1.000000,24,0,0
sccp_strict,GLM-4.6,P2,ocr_confusable,4.1667,16.6667,12.5000,0,0,0.250000,24,3,0
sccp_strict,GLM-4.6,P2,simp_trad,8.3333,8.3333,0.0000,0,0,1.000000,48,0,0
sccp_strict,GLM-4.6,P3,full_half_width,8.3333,12.5000,4.1667,0,0,1.000000,24,1,0
sccp_strict,GLM-4.6,P3,ocr_confusable,4.1667,16.6667,12.5000,0,0,0.250000,24,3,0
sccp_strict,GLM-4.6,P3,simp_trad,12.5000,10.4167,-2.0833,0,0,1.000000,48,0,1
sccp_strict,GLM-4.6,P4,full_half_width,8.3333,12.5000,4.1667,0,0,1.000000,24,1,0
sccp_strict,GLM-4.6,P4,ocr_confusable,0.0000,20.8333,20.8333,0,0,0.062500,24,5,0
sccp_strict,GLM-4.6,P4,simp_trad,8.3333,10.4167,2.0833,0,0,1.000000,48,1,0
sccp_strict,Qwen3-235B-A22B-Instruct-2507,P1,full_half_width,0.0000,4.1667,4.1667,0,0,1.000000,24,1,0
sccp_strict,Qwen3-235B-A22B-Instruct-2507,P1,ocr_confusable,0.0000,12.5000,12.5000,0,0,0.250000,24,3,0
sccp_strict,Qwen3-235B-A22B-Instruct-2507,P1,simp_trad,4.1667,4.1667,0.0000,0,0,1.000000,48,0,0
sccp_strict,Qwen3-235B-A22B-Instruct-2507,P2,full_half_width,4.1667,4.1667,0.0000,0,0,1.000000,24,0,0
sccp_strict,Qwen3-235B-A22B-Instruct-2507,P2,ocr_confusable,0.0000,12.5000,12.5000,0,0,0.250000,24,3,0
sccp_strict,Qwen3-235B-A22B-Instruct-2507,P2,simp_trad,6.2500,6.2500,0.0000,0,0,1.000000,48,0,0
sccp_strict,Qwen3-235B-A22B-Instruct-2507,P3,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
sccp_strict,Qwen3-235B-A22B-Instruct-2507,P3,ocr_confusable,4.1667,16.6667,12.5000,0,0,0.250000,24,3,0
sccp_strict,Qwen3-235B-A22B-Instruct-2507,P3,simp_trad,4.1667,4.1667,0.0000,0,0,1.000000,48,0,0
sccp_strict,Qwen3-235B-A22B-Instruct-2507,P4,full_half_width,4.1667,4.1667,0.0000,0,0,1.000000,24,0,0
sccp_strict,Qwen3-235B-A22B-Instruct-2507,P4,ocr_confusable,4.1667,16.6667,12.5000,0,0,0.250000,24,3,0
sccp_strict,Qwen3-235B-A22B-Instruct-2507,P4,simp_trad,6.2500,6.2500,0.0000,0,0,1.000000,48,0,0
sccp_strict,gemini-3-flash,P1,full_half_width,6.2500,6.2500,0.0000,0,0,1.000000,16,0,0
sccp_strict,gemini-3-flash,P1,ocr_confusable,0.0000,15.7895,15.7895,0,0,0.250000,19,3,0
sccp_strict,gemini-3-flash,P1,simp_trad,6.5217,6.5217,0.0000,0,0,1.000000,46,0,0
sccp_strict,gemini-3-flash,P2,full_half_width,4.3478,4.3478,0.0000,0,0,1.000000,23,0,0
sccp_strict,gemini-3-flash,P2,ocr_confusable,0.0000,13.0435,13.0435,0,0,0.250000,23,3,0
sccp_strict,gemini-3-flash,P2,simp_trad,6.2500,6.2500,0.0000,0,0,1.000000,48,0,0
sccp_strict,gemini-3-flash,P3,full_half_width,4.1667,4.1667,0.0000,0,0,1.000000,24,0,0
sccp_strict,gemini-3-flash,P3,ocr_confusable,4.1667,16.6667,12.5000,0,0,0.250000,24,3,0
sccp_strict,gemini-3-flash,P3,simp_trad,8.3333,6.2500,-2.0833,0,0,1.000000,48,0,1
sccp_strict,gemini-3-flash,P4,full_half_width,4.3478,4.3478,0.0000,0,0,1.000000,23,0,0
sccp_strict,gemini-3-flash,P4,ocr_confusable,4.1667,12.5000,8.3333,0,0,0.625000,24,3,1
sccp_strict,gemini-3-flash,P4,simp_trad,6.2500,6.2500,0.0000,0,0,1.000000,48,0,0
sccp_strict,gpt-5.2,P1,full_half_width,4.1667,4.1667,0.0000,0,0,1.000000,24,0,0
sccp_strict,gpt-5.2,P1,ocr_confusable,8.3333,25.0000,16.6667,0,0,0.125000,24,4,0
sccp_strict,gpt-5.2,P1,simp_trad,8.3333,8.3333,0.0000,0,0,1.000000,48,0,0
sccp_strict,gpt-5.2,P2,full_half_width,8.3333,4.1667,-4.1667,0,0,1.000000,24,0,1
sccp_strict,gpt-5.2,P2,ocr_confusable,4.1667,29.1667,25.0000,1,0,0.031250,24,6,0
sccp_strict,gpt-5.2,P2,simp_trad,10.4167,8.3333,-2.0833,0,0,1.000000,48,0,1
sccp_strict,gpt-5.2,P3,full_half_width,4.1667,4.1667,0.0000,0,0,1.000000,24,0,0
sccp_strict,gpt-5.2,P3,ocr_confusable,4.1667,16.6667,12.5000,0,0,0.250000,24,3,0
sccp_strict,gpt-5.2,P3,simp_trad,6.2500,6.2500,0.0000,0,0,1.000000,48,0,0
sccp_strict,gpt-5.2,P4,full_half_width,8.3333,4.1667,-4.1667,0,0,1.000000,24,0,1
sccp_strict,gpt-5.2,P4,ocr_confusable,8.3333,20.8333,12.5000,0,0,0.375000,24,4,1
sccp_strict,gpt-5.2,P4,simp_trad,10.4167,8.3333,-2.0833,0,0,1.000000,48,0,1
oracle,DeepSeek-V3.2,P1,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,DeepSeek-V3.2,P1,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,DeepSeek-V3.2,P1,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,48,0,0
oracle,DeepSeek-V3.2,P2,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,DeepSeek-V3.2,P2,ocr_confusable,0.0000,8.3333,8.3333,0,0,0.500000,24,2,0
oracle,DeepSeek-V3.2,P2,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,48,0,0
oracle,DeepSeek-V3.2,P3,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,DeepSeek-V3.2,P3,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,DeepSeek-V3.2,P3,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,48,0,0
oracle,DeepSeek-V3.2,P4,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,DeepSeek-V3.2,P4,ocr_confusable,0.0000,4.1667,4.1667,0,0,1.000000,24,1,0
oracle,DeepSeek-V3.2,P4,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,48,0,0
oracle,GLM-4.6,P1,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,GLM-4.6,P1,ocr_confusable,0.0000,4.1667,4.1667,0,0,1.000000,24,1,0
oracle,GLM-4.6,P1,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,48,0,0
oracle,GLM-4.6,P2,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,GLM-4.6,P2,ocr_confusable,0.0000,4.1667,4.1667,0,0,1.000000,24,1,0
oracle,GLM-4.6,P2,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,48,0,0
oracle,GLM-4.6,P3,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,GLM-4.6,P3,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,GLM-4.6,P3,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,48,0,0
oracle,GLM-4.6,P4,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,GLM-4.6,P4,ocr_confusable,0.0000,4.1667,4.1667,0,0,1.000000,24,1,0
oracle,GLM-4.6,P4,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,48,0,0
oracle,Qwen3-235B-A22B-Instruct-2507,P1,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,Qwen3-235B-A22B-Instruct-2507,P1,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,Qwen3-235B-A22B-Instruct-2507,P1,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,48,0,0
oracle,Qwen3-235B-A22B-Instruct-2507,P2,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,Qwen3-235B-A22B-Instruct-2507,P2,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,Qwen3-235B-A22B-Instruct-2507,P2,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,48,0,0
oracle,Qwen3-235B-A22B-Instruct-2507,P3,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,Qwen3-235B-A22B-Instruct-2507,P3,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,Qwen3-235B-A22B-Instruct-2507,P3,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,48,0,0
oracle,Qwen3-235B-A22B-Instruct-2507,P4,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,Qwen3-235B-A22B-Instruct-2507,P4,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,Qwen3-235B-A22B-Instruct-2507,P4,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,48,0,0
oracle,gemini-3-flash,P1,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,16,0,0
oracle,gemini-3-flash,P1,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,19,0,0
oracle,gemini-3-flash,P1,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,46,0,0
oracle,gemini-3-flash,P2,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,23,0,0
oracle,gemini-3-flash,P2,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,23,0,0
oracle,gemini-3-flash,P2,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,48,0,0
oracle,gemini-3-flash,P3,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,gemini-3-flash,P3,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,gemini-3-flash,P3,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,48,0,0
oracle,gemini-3-flash,P4,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,23,0,0
oracle,gemini-3-flash,P4,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,gemini-3-flash,P4,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,48,0,0
oracle,gpt-5.2,P1,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,gpt-5.2,P1,ocr_confusable,0.0000,8.3333,8.3333,0,0,0.500000,24,2,0
oracle,gpt-5.2,P1,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,48,0,0
oracle,gpt-5.2,P2,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,gpt-5.2,P2,ocr_confusable,0.0000,16.6667,16.6667,0,0,0.125000,24,4,0
oracle,gpt-5.2,P2,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,48,0,0
oracle,gpt-5.2,P3,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,gpt-5.2,P3,ocr_confusable,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,gpt-5.2,P3,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,48,0,0
oracle,gpt-5.2,P4,full_half_width,0.0000,0.0000,0.0000,0,0,1.000000,24,0,0
oracle,gpt-5.2,P4,ocr_confusable,0.0000,8.3333,8.3333,0,0,0.500000,24,2,0
oracle,gpt-5.2,P4,simp_trad,0.0000,0.0000,0.0000,0,0,1.000000,48,0,0
